IN | IN = -3.70274
UH | CC = -8.15228
WP$ | CC = -7.92046
IN | ) = -4.08668
DT | ) = -4.27732
NNP | ) = -3.87475
CD | ) = -4.23728
NN | ) = -3.83523
`` | ) = -3.83229
'' | ) = -3.83987
POS | ) = -4.33981
( | ) = -4.05478
VBN | ) = -3.84714
NNS | ) = -3.74268
VBP | ) = -3.83041
, | ) = -3.94496
CC | ) = -4.00413
) | ) = -4.0526
VBD | ) = -3.90516
RB | ) = -3.88102
TO | ) = -3.99586
. | ) = -3.63889
VBZ | ) = -3.8475
NNPS | ) = -3.82395
PRP | ) = -3.52667
PRP$ | ) = -4.41852
VB | ) = -2.6197
JJ | ) = -4.07611
MD | ) = -3.83074
VBG | ) = -3.82782
RBR | ) = -4.06726
: | ) = -3.94028
WP | ) = -3.60788
WDT | ) = -3.52372
JJR | ) = -4.08133
PDT | ) = -4.1394
RBS | ) = -4.07117
WRB | ) = -3.75412
JJS | ) = -4.10053
$ | ) = -3.8819
RP | ) = -3.73645
FW | ) = -3.94321
EX | ) = -3.60236
SYM | ) = -3.90477
# | ) = -3.84514
LS | ) = -3.88131
UH | ) = -3.8699
WP$ | ) = -4.10273
IN | VBD = -2.19516
DT | VBD = -5.14334
NNP | VBD = -2.44189
CD | VBD = -5.85218
NN | VBD = -2.04489
`` | VBD = -4.06381
'' | VBD = -3.98946
POS | VBD = -9.17011
( | VBD = -6.89719
VBN | VBD = -3.66231
NNS | VBD = -2.89281
VBP | VBD = -4.99893
, | VBD = -2.26358
CC | VBD = -3.35887
) | VBD = -6.9137
VBD | VBD = -4.15643
RB | VBD = -2.75613
TO | VBD = -3.48301
. | VBD = -1.98563
VBZ | VBD = -4.13099
NNPS | VBD = -5.70575
PRP | VBD = -3.09953
PRP$ | VBD = -10.1529
VB | VBD = -4.75249
JJ | VBD = -4.7216
MD | VBD = -4.51348
VBG | VBD = -4.1329
RBR | VBD = -6.8572
: | VBD = -5.07776
WP | VBD = -4.91419
WDT | VBD = -4.38171
JJR | VBD = -6.53649
PDT | VBD = -9.28654
RBS | VBD = -8.53322
WRB | VBD = -5.47413
JJS | VBD = -7.37041
$ | VBD = -5.48999
RP | VBD = -6.18287
FW | VBD = -8.5923
EX | VBD = -6.06783
SYM | VBD = -9.7445
# | VBD = -8.85684
LS | VBD = -9.53319
UH | VBD = -9.18956
WP$ | VBD = -9.7347
IN | RB = -1.30969
DT | RB = -4.36291
NNP | RB = -4.98158
CD | RB = -2.21002
NN | RB = -2.99036
`` | RB = -5.48947
'' | RB = -5.58594
POS | RB = -8.81161
( | RB = -6.1386
VBN | RB = -3.87161
NNS | RB = -2.29252
VBP | RB = -4.98985
, | RB = -3.26641
CC | RB = -3.19296
) | RB = -6.11946
VBD | RB = -4.95043
RB | RB = -2.1377
TO | RB = -2.60981
. | RB = -5.18707
VBZ | RB = -5.76826
NNPS | RB = -7.20437
PRP | RB = -5.52609
PRP$ | RB = -6.05408
VB | RB = -12.7313
JJ | RB = -3.6375
MD | RB = -5.14366
VBG | RB = -3.95488
RBR | RB = -3.95326
: | RB = -5.37051
WP | RB = -6.76232
WDT | RB = -7.50828
JJR | RB = -4.22603
PDT | RB = -7.28808
RBS | RB = -6.25891
WRB | RB = -5.46221
JJS | RB = -5.03525
$ | RB = -5.20603
RP | RB = -5.51756
FW | RB = -8.18364
EX | RB = -8.06562
SYM | RB = -9.09105
# | RB = -8.85997
LS | RB = -9.08248
UH | RB = -8.89203
WP$ | RB = -7.9431
IN | TO = -5.23441
DT | TO = -7.1773
NNP | TO = -3.18684
CD | TO = -6.28185
NN | TO = -2.03599
`` | TO = -6.33216
'' | TO = -7.25236
POS | TO = -10.421
( | TO = -9.08385
VBN | TO = -5.44909
NNS | TO = -2.2435
VBP | TO = -4.52343
, | TO = -5.58714
CC | TO = -6.1435
) | TO = -9.05494
VBD | TO = -4.49454
RB | TO = -5.37557
TO | TO = -6.11267
. | TO = -6.53202
VBZ | TO = -4.28354
NNPS | TO = -5.65267
PRP | TO = -4.71084
PRP$ | TO = -9.773
VB | TO = -0.520844
JJ | TO = -5.40894
MD | TO = -4.60273
VBG | TO = -4.18544
RBR | TO = -8.82667
: | TO = -6.78282
WP | TO = -6.85238
WDT | TO = -5.53137
JJR | TO = -7.56469
PDT | TO = -9.88539
RBS | TO = -11.012
WRB | TO = -7.44604
JJS | TO = -7.82723
$ | TO = -4.50898
RP | TO = -6.95998
FW | TO = -8.96277
EX | TO = -7.78477
SYM | TO = -10.1527
# | TO = -8.82129
LS | TO = -10.09
UH | TO = -9.84746
WP$ | TO = -10.3334
IN | . = -3.67789
DT | . = -3.74006
NNP | . = -3.57286
CD | . = -3.9387
NN | . = -3.59003
`` | . = -3.73999
'' | . = -3.74961
POS | . = -3.9401
( | . = -3.97095
VBN | . = -3.72325
NNS | . = -3.73869
VBP | . = -3.79867
, | . = -3.66418
CC | . = -3.74146
) | . = -3.97772
VBD | . = -3.74164
RB | . = -3.76762
TO | . = -3.77271
. | . = -3.68474
VBZ | . = -3.70429
NNPS | . = -3.81716
PRP | . = -3.7312
PRP$ | . = -4.05263
VB | . = -3.71812
JJ | . = -3.73116
MD | . = -3.77406
VBG | . = -3.75733
RBR | . = -4.01768
: | . = -3.81204
WP | . = -3.84754
WDT | . = -3.76436
JJR | . = -3.94529
PDT | . = -4.05886
RBS | . = -4.09078
WRB | . = -3.90063
JJS | . = -3.97549
$ | . = -3.82123
RP | . = -3.92598
FW | . = -4.02008
EX | . = -3.89433
SYM | . = -4.10667
# | . = -4.03384
LS | . = -4.0891
UH | . = -4.07599
WP$ | . = -4.08527
IN | VBZ = -2.45003
DT | VBZ = -4.54927
NNP | VBZ = -2.53932
CD | VBZ = -6.57996
NN | VBZ = -1.9105
`` | VBZ = -3.70559
'' | VBZ = -3.56344
POS | VBZ = -8.38944
( | VBZ = -7.12592
VBN | VBZ = -2.86917
NNS | VBZ = -3.53182
VBP | VBZ = -4.8658
, | VBZ = -2.29278
CC | VBZ = -3.29756
) | VBZ = -7.19952
VBD | VBZ = -4.81393
RB | VBZ = -3.07276
TO | VBZ = -3.88383
. | VBZ = -2.00108
VBZ | VBZ = -4.37984
NNPS | VBZ = -5.89272
PRP | VBZ = -2.98987
PRP$ | VBZ = -9.10549
VB | VBZ = -4.71755
JJ | VBZ = -3.56877
MD | VBZ = -4.87228
VBG | VBZ = -3.83161
RBR | VBZ = -7.1719
: | VBZ = -4.87375
WP | VBZ = -4.98319
WDT | VBZ = -4.17325
JJR | VBZ = -6.47684
PDT | VBZ = -8.87755
RBS | VBZ = -8.36559
WRB | VBZ = -5.60571
JJS | VBZ = -7.30339
$ | VBZ = -5.78214
RP | VBZ = -6.15646
FW | VBZ = -8.41247
EX | VBZ = -5.76418
SYM | VBZ = -9.60852
# | VBZ = -8.77236
LS | VBZ = -9.26192
UH | VBZ = -9.0515
WP$ | VBZ = -9.38956
IN | NNPS = -3.32072
DT | NNPS = -2.21369
NNP | NNPS = -0.77007
CD | NNPS = -4.23164
NN | NNPS = -2.36315
`` | NNPS = -5.41225
'' | NNPS = -5.61569
POS | NNPS = -3.05208
( | NNPS = -5.83186
VBN | NNPS = -5.78665
NNS | NNPS = -6.38478
VBP | NNPS = -5.83122
, | NNPS = -2.35582
CC | NNPS = -3.50114
) | NNPS = -5.87899
VBD | NNPS = -4.35785
RB | NNPS = -5.76074
TO | NNPS = -6.5261
. | NNPS = -5.05482
VBZ | NNPS = -4.11354
NNPS | NNPS = -5.12624
PRP | NNPS = -7.80536
PRP$ | NNPS = -6.79741
VB | NNPS = -17.0972
JJ | NNPS = -3.60392
MD | NNPS = -5.72525
VBG | NNPS = -5.65215
RBR | NNPS = -10.2025
: | NNPS = -5.41895
WP | NNPS = -9.92952
WDT | NNPS = -8.2655
JJR | NNPS = -7.31841
PDT | NNPS = -8.70083
RBS | NNPS = -11.1227
WRB | NNPS = -11.2782
JJS | NNPS = -7.65597
$ | NNPS = -6.69989
RP | NNPS = -13.2887
FW | NNPS = -9.08549
EX | NNPS = -10.6331
SYM | NNPS = -11.7836
# | NNPS = -10.9101
LS | NNPS = -11.7963
UH | NNPS = -11.401
WP$ | NNPS = -9.92386
IN | PRP = -2.18036
DT | PRP = -2.92466
NNP | PRP = -2.71662
CD | PRP = -3.34905
NN | PRP = -2.39747
`` | PRP = -3.93458
'' | PRP = -3.9855
POS | PRP = -4.88983
( | PRP = -4.81113
VBN | PRP = -3.41857
NNS | PRP = -3.35746
VBP | PRP = -4.09992
, | PRP = -2.60001
CC | PRP = -2.93092
) | PRP = -4.83775
VBD | PRP = -3.77396
RB | PRP = -3.11123
TO | PRP = -3.35806
. | PRP = -3.71796
VBZ | PRP = -3.84564
NNPS | PRP = -4.7333
PRP | PRP = -4.4313
PRP$ | PRP = -4.90419
VB | PRP = -8.39036
JJ | PRP = -2.93186
MD | PRP = -4.11143
VBG | PRP = -3.61131
RBR | PRP = -4.94934
: | PRP = -4.08292
WP | PRP = -5.42245
WDT | PRP = -5.18249
JJR | PRP = -4.3681
PDT | PRP = -5.73053
RBS | PRP = -5.8962
WRB | PRP = -5.33524
JJS | PRP = -4.74518
$ | PRP = -4.39277
RP | PRP = -5.72741
FW | PRP = -6.05915
EX | PRP = -5.99756
SYM | PRP = -6.98687
# | PRP = -6.6318
LS | PRP = -6.92926
UH | PRP = -6.79667
WP$ | PRP = -6.21177
IN | PRP$ = -3.98427
DT | PRP$ = -3.8465
NNP | PRP$ = -3.83448
CD | PRP$ = -3.9517
NN | PRP$ = -3.99118
`` | PRP$ = -3.86822
'' | PRP$ = -3.85698
POS | PRP$ = -3.64128
( | PRP$ = -3.78728
VBN | PRP$ = -4.00182
NNS | PRP$ = -4.03753
VBP | PRP$ = -3.93049
, | PRP$ = -3.91913
CC | PRP$ = -3.93933
) | PRP$ = -3.78778
VBD | PRP$ = -3.82439
RB | PRP$ = -4.00515
TO | PRP$ = -3.9376
. | PRP$ = -3.87
VBZ | PRP$ = -3.81461
NNPS | PRP$ = -3.77218
PRP | PRP$ = -3.92746
PRP$ | PRP$ = -3.84951
VB | PRP$ = -3.7601
JJ | PRP$ = -4.00423
MD | PRP$ = -3.86405
VBG | PRP$ = -3.9872
RBR | PRP$ = -3.91167
: | PRP$ = -3.86216
WP | PRP$ = -3.83856
WDT | PRP$ = -3.82808
JJR | PRP$ = -3.92283
PDT | PRP$ = -3.78138
RBS | PRP$ = -3.82377
WRB | PRP$ = -3.88343
JJS | PRP$ = -3.8822
$ | PRP$ = -3.87442
RP | PRP$ = -3.91081
FW | PRP$ = -3.75206
EX | PRP$ = -3.80437
SYM | PRP$ = -3.71977
# | PRP$ = -3.73173
LS | PRP$ = -3.73083
UH | PRP$ = -3.73085
WP$ | PRP$ = -3.75229
IN | VB = -1.56967
DT | VB = -4.75532
NNP | VB = -3.77005
CD | VB = -6.21938
NN | VB = -1.46335
`` | VB = -4.94009
'' | VB = -5.18499
POS | VB = -11.2685
( | VB = -9.40624
VBN | VB = -3.05907
NNS | VB = -2.11539
VBP | VB = -5.17853
, | VB = -3.63613
CC | VB = -4.13123
) | VB = -9.48445
VBD | VB = -5.08838
RB | VB = -2.73866
TO | VB = -2.63337
. | VB = -4.79815
VBZ | VB = -4.98299
NNPS | VB = -7.68694
PRP | VB = -3.96618
PRP$ | VB = -8.76965
VB | VB = -4.63821
JJ | VB = -3.44856
MD | VB = -5.03525
VBG | VB = -3.60366
RBR | VB = -6.1131
: | VB = -5.92598
WP | VB = -5.92215
WDT | VB = -5.77643
JJR | VB = -6.23371
PDT | VB = -9.57536
RBS | VB = -8.66211
WRB | VB = -4.93815
JJS | VB = -7.0882
$ | VB = -5.05397
RP | VB = -4.04486
FW | VB = -9.75111
EX | VB = -7.24067
SYM | VB = -10.6955
# | VB = -9.68798
LS | VB = -10.3888
UH | VB = -10.3014
WP$ | VB = -10.1116
IN | JJ = -1.24895
DT | JJ = -3.13935
NNP | JJ = -5.30318
CD | JJ = -3.40404
NN | JJ = -4.05516
`` | JJ = -4.56486
