IN | IN = -3.96955
JJR | '' = -4.58528
PDT | '' = -5.18376
RBS | '' = -5.61598
WRB | '' = -4.76207
JJS | '' = -4.68493
$ | '' = -3.8467
RP | '' = -5.06437
FW | '' = -4.7776
EX | '' = -4.56922
SYM | '' = -5.52791
# | '' = -5.11476
LS | '' = -5.4747
UH | '' = -5.33817
WP$ | '' = -5.37317
IN | POS = -3.3955
DT | POS = -3.62676
NNP | POS = -3.65356
CD | POS = -3.68812
NN | POS = -3.46543
`` | POS = -3.73444
'' | POS = -3.7648
POS | POS = -4.18115
( | POS = -4.00894
VBN | POS = -3.65814
NNS | POS = -3.55775
VBP | POS = -3.87058
, | POS = -3.55203
CC | POS = -3.5432
) | POS = -4.00691
VBD | POS = -3.85221
RB | POS = -3.49165
TO | POS = -3.54306
. | POS = -3.82713
VBZ | POS = -3.85329
NNPS | POS = -4.01183
PRP | POS = -3.77158
PRP$ | POS = -3.99412
VB | POS = -4.19026
JJ | POS = -3.59936
MD | POS = -3.84593
VBG | POS = -3.66437
RBR | POS = -3.79987
: | POS = -3.78865
WP | POS = -3.94338
WDT | POS = -3.96461
JJR | POS = -3.81448
PDT | POS = -4.09823
RBS | POS = -4.01617
WRB | POS = -3.87599
JJS | POS = -3.8846
$ | POS = -3.78499
RP | POS = -3.88069
FW | POS = -4.17967
EX | POS = -4.09062
SYM | POS = -4.30495
# | POS = -4.23859
LS | POS = -4.28289
UH | POS = -4.25768
WP$ | POS = -4.20392
IN | ( = -3.5385
DT | ( = -3.76416
NNP | ( = -3.73684
CD | ( = -3.33939
NN | ( = -3.74339
`` | ( = -3.73402
'' | ( = -3.7285
POS | ( = -3.82781
( | ( = -3.37134
VBN | ( = -3.97333
NNS | ( = -3.79933
VBP | ( = -3.97779
, | ( = -3.38119
CC | ( = -3.41431
) | ( = -3.3622
VBD | ( = -3.87252
RB | ( = -3.51665
TO | ( = -3.8202
. | ( = -3.71891
VBZ | ( = -4.02381
NNPS | ( = -3.79952
PRP | ( = -3.99663
PRP$ | ( = -3.99044
VB | ( = -5.47075
JJ | ( = -3.80296
MD | ( = -3.95249
VBG | ( = -3.8653
RBR | ( = -3.8241
: | ( = -3.68264
WP | ( = -4.12049
WDT | ( = -3.9858
JJR | ( = -3.7509
PDT | ( = -3.93519
RBS | ( = -3.8483
WRB | ( = -4.34179
JJS | ( = -3.78978
$ | ( = -3.88317
RP | ( = -4.70714
FW | ( = -3.85463
EX | ( = -4.15852
SYM | ( = -4.14019
# | ( = -4.19617
LS | ( = -4.18711
UH | ( = -4.11668
WP$ | ( = -4.02864
IN | VBN = -0.879965
DT | VBN = -4.89216
NNP | VBN = -4.25843
CD | VBN = -5.95002
NN | VBN = -2.24513
`` | VBN = -5.2008
'' | VBN = -5.14212
POS | VBN = -11.4032
( | VBN = -9.0543
VBN | VBN = -3.38234
NNS | VBN = -2.94994
VBP | VBN = -6.56644
, | VBN = -3.2384
CC | VBN = -3.76215
) | VBN = -9.11515
VBD | VBN = -5.53628
RB | VBN = -2.65719
TO | VBN = -2.08499
. | VBN = -4.76883
VBZ | VBN = -5.9009
NNPS | VBN = -8.45782
PRP | VBN = -4.7624
PRP$ | VBN = -9.67821
VB | VBN = -7.36287
JJ | VBN = -3.96494
MD | VBN = -5.79236
VBG | VBN = -4.48416
RBR | VBN = -5.57961
: | VBN = -6.16073
WP | VBN = -6.31878
WDT | VBN = -7.53771
JJR | VBN = -6.03641
PDT | VBN = -10.1339
RBS | VBN = -8.10643
WRB | VBN = -4.59389
JJS | VBN = -7.37107
$ | VBN = -5.75854
RP | VBN = -4.15161
FW | VBN = -10.8629
EX | VBN = -8.64456
SYM | VBN = -11.6696
# | VBN = -10.7595
LS | VBN = -11.1632
UH | VBN = -10.9229
WP$ | VBN = -10.9432
IN | NNS = -2.01252
DT | NNS = -1.98893
NNP | NNS = -3.17301
CD | NNS = -2.81944
NN | NNS = -2.01305
`` | NNS = -5.56252
'' | NNS = -5.97927
POS | NNS = -5.18432
( | NNS = -6.74396
VBN | NNS = -3.84061
NNS | NNS = -3.93924
VBP | NNS = -4.56994
, | NNS = -3.24011
CC | NNS = -3.42228
) | NNS = -6.8021
VBD | NNS = -4.87009
RB | NNS = -4.33954
TO | NNS = -4.63912
. | NNS = -6.4746
VBZ | NNS = -4.93028
NNPS | NNS = -6.52614
PRP | NNS = -7.10177
PRP$ | NNS = -3.36491
VB | NNS = -17.1094
JJ | NNS = -1.47053
MD | NNS = -5.33087
VBG | NNS = -3.82517
RBR | NNS = -7.38216
: | NNS = -5.2836
WP | NNS = -9.05282
WDT | NNS = -8.24232
JJR | NNS = -4.90014
PDT | NNS = -6.83786
RBS | NNS = -9.37189
WRB | NNS = -9.54221
JJS | NNS = -5.22182
$ | NNS = -5.64601
RP | NNS = -10.5206
FW | NNS = -8.17605
EX | NNS = -10.0744
SYM | NNS = -10.5113
# | NNS = -10.0132
LS | NNS = -10.6381
UH | NNS = -10.3947
WP$ | NNS = -7.84461
IN | VBP = -2.51614
DT | VBP = -6.46655
NNP | VBP = -4.41507
CD | VBP = -5.43607
NN | VBP = -2.79691
`` | VBP = -4.26237
'' | VBP = -4.16192
POS | VBP = -10.3459
( | VBP = -6.42935
VBN | VBP = -2.73784
NNS | VBP = -1.82503
VBP | VBP = -4.18209
, | VBP = -2.60299
CC | VBP = -3.40321
) | VBP = -6.41171
VBD | VBP = -5.04749
RB | VBP = -2.48326
TO | VBP = -3.77892
. | VBP = -2.11142
VBZ | VBP = -5.16833
NNPS | VBP = -6.05566
PRP | VBP = -2.57399
PRP$ | VBP = -8.53593
VB | VBP = -4.40804
JJ | VBP = -3.93798
MD | VBP = -4.63446
VBG | VBP = -3.37652
RBR | VBP = -6.37064
: | VBP = -4.90686
WP | VBP = -4.30553
WDT | VBP = -4.09812
JJR | VBP = -5.47077
PDT | VBP = -8.63845
RBS | VBP = -7.6101
WRB | VBP = -4.97173
JJS | VBP = -6.27184
$ | VBP = -6.14926
RP | VBP = -5.72061
FW | VBP = -8.22444
EX | VBP = -5.24342
SYM | VBP = -9.06619
# | VBP = -8.50899
LS | VBP = -8.48774
UH | VBP = -8.30485
WP$ | VBP = -9.09967
IN | , = -3.92754
DT | , = -3.80315
NNP | , = -3.72286
CD | , = -3.72267
NN | , = -3.85135
`` | , = -3.78568
'' | , = -3.81029
POS | , = -3.64333
( | , = -3.61688
VBN | , = -4.06647
NNS | , = -3.95555
VBP | , = -3.92867
, | , = -3.74264
CC | , = -3.7308
) | , = -3.6084
VBD | , = -3.8772
RB | , = -3.81519
TO | , = -3.97767
. | , = -3.85404
VBZ | , = -3.86355
NNPS | , = -3.70926
PRP | , = -3.91845
PRP$ | , = -3.90943
VB | , = -4.18537
JJ | , = -3.97036
MD | , = -3.89759
VBG | , = -3.92305
RBR | , = -3.9083
: | , = -3.77684
WP | , = -3.94394
WDT | , = -3.78801
JJR | , = -3.93245
PDT | , = -3.81825
RBS | , = -3.88469
WRB | , = -4.12422
JJS | , = -3.87754
$ | , = -3.81555
RP | , = -4.25749
FW | , = -3.69927
EX | , = -3.87133
SYM | , = -3.81648
# | , = -3.82364
LS | , = -3.85342
UH | , = -3.82715
WP$ | , = -3.83719
IN | CC = -3.42177
DT | CC = -4.86222
NNP | CC = -2.09456
CD | CC = -5.16369
NN | CC = -1.48631
`` | CC = -6.16981
'' | CC = -6.92229
POS | CC = -8.17046
( | CC = -8.65202
VBN | CC = -3.97981
NNS | CC = -1.71969
VBP | CC = -3.23927
, | CC = -5.06145
CC | CC = -5.68526
) | CC = -8.70612
VBD | CC = -2.55916
RB | CC = -5.58
TO | CC = -4.49733
. | CC = -6.07117
VBZ | CC = -2.68703
NNPS | CC = -5.06315
PRP | CC = -4.92254
PRP$ | CC = -7.54478
VB | CC = -3.15875
JJ | CC = -3.47271
MD | CC = -3.27987
VBG | CC = -3.54847
RBR | CC = -7.19006
: | CC = -6.27166
WP | CC = -6.73853
WDT | CC = -6.36326
JJR | CC = -5.76388
PDT | CC = -8.34612
RBS | CC = -10.8954
WRB | CC = -6.58903
JJS | CC = -6.40169
$ | CC = -3.8893
RP | CC = -5.6175
FW | CC = -8.36378
EX | CC = -8.69788
SYM | CC = -9.57145
# | CC = -7.75938
LS | CC = -9.49984
UH | CC = -9.24425
WP$ | CC = -8.79419
IN | ) = -4.31311
DT | ) = -4.31484
NNP | ) = -3.9825
CD | ) = -4.24899
NN | ) = -3.95896
`` | ) = -3.82381
'' | ) = -3.86315
POS | ) = -4.26578
( | ) = -3.94398
VBN | ) = -4.06031
NNS | ) = -3.85049
VBP | ) = -3.8994
, | ) = -4.04285
CC | ) = -4.03041
) | ) = -3.94232
VBD | ) = -4.08349
RB | ) = -3.85783
TO | ) = -4.12616
. | ) = -3.72191
VBZ | ) = -3.93265
NNPS | ) = -3.81604
PRP | ) = -3.56686
PRP$ | ) = -4.33934
VB | ) = -2.53054
JJ | ) = -4.27877
MD | ) = -3.91593
VBG | ) = -3.89362
RBR | ) = -4.06866
: | ) = -3.9325
WP | ) = -3.60927
WDT | ) = -3.42192
JJR | ) = -4.21958
PDT | ) = -4.08716
RBS | ) = -4.02084
WRB | ) = -3.84288
JJS | ) = -4.12414
$ | ) = -3.9799
RP | ) = -3.81763
FW | ) = -3.85337
EX | ) = -3.44783
SYM | ) = -3.78019
# | ) = -3.71477
LS | ) = -3.72236
UH | ) = -3.73899
WP$ | ) = -4.06118
IN | VBD = -2.11506
DT | VBD = -5.59213
NNP | VBD = -2.4538
CD | VBD = -6.11295
NN | VBD = -2.11122
`` | VBD = -4.16256
'' | VBD = -3.99931
POS | VBD = -9.25768
( | VBD = -6.96803
VBN | VBD = -3.43111
NNS | VBD = -2.80352
VBP | VBD = -4.89748
, | VBD = -2.28244
CC | VBD = -3.56429
) | VBD = -7.00676
VBD | VBD = -3.93145
RB | VBD = -3.08439
TO | VBD = -3.43196
. | VBD = -1.90696
VBZ | VBD = -4.05093
NNPS | VBD = -5.61365
PRP | VBD = -3.1654
PRP$ | VBD = -10.0933
VB | VBD = -4.80348
JJ | VBD = -4.5131
MD | VBD = -4.34136
VBG | VBD = -4.13933
RBR | VBD = -6.8855
: | VBD = -5.18982
WP | VBD = -4.83207
WDT | VBD = -4.6191
JJR | VBD = -6.42422
PDT | VBD = -9.5975
RBS | VBD = -8.80005
WRB | VBD = -5.17946
JJS | VBD = -7.4
$ | VBD = -5.48829
RP | VBD = -5.79782
FW | VBD = -8.59534
EX | VBD = -6.33598
SYM | VBD = -9.92592
# | VBD = -8.92411
LS | VBD = -9.45724
UH | VBD = -9.11884
WP$ | VBD = -9.93075
IN | RB = -1.41199
DT | RB = -4.33816
NNP | RB = -4.9933
CD | RB = -2.32491
NN | RB = -2.5229
`` | RB = -5.16656
'' | RB = -5.63188
POS | RB = -9.51342
( | RB = -5.77799
VBN | RB = -4.72424
NNS | RB = -2.43164
VBP | RB = -6.19631
, | RB = -3.3543
CC | RB = -2.91945
) | RB = -5.80922
VBD | RB = -5.5634
RB | RB = -1.91476
TO | RB = -2.55176
. | RB = -6.73888
VBZ | RB = -6.50548
NNPS | RB = -7.24639
PRP | RB = -5.8576
PRP$ | RB = -7.16454
VB | RB = -11.0136
JJ | RB = -3.86309
MD | RB = -5.70503
VBG | RB = -4.0741
RBR | RB = -3.52672
: | RB = -5.19133
WP | RB = -7.15733
WDT | RB = -7.74935
JJR | RB = -4.26302
PDT | RB = -7.37534
RBS | RB = -5.89497
WRB | RB = -6.17471
JJS | RB = -5.03897
$ | RB = -4.37336
RP | RB = -6.27669
FW | RB = -8.38741
EX | RB = -8.92398
SYM | RB = -9.43051
# | RB = -8.86052
LS | RB = -9.39098
UH | RB = -9.07269
WP$ | RB = -8.52228
IN | TO = -5.78461
DT | TO = -6.42221
NNP | TO = -3.40854
CD | TO = -4.96854
NN | TO = -1.96363
`` | TO = -6.04415
'' | TO = -7.64879
POS | TO = -10.7669
( | TO = -7.82626
VBN | TO = -7.97939
NNS | TO = -2.39692
VBP | TO = -6.09506
, | TO = -6.0207
CC | TO = -5.29335
) | TO = -7.81916
VBD | TO = -5.78417
RB | TO = -3.99571
TO | TO = -5.76068
. | TO = -8.73749
VBZ | TO = -5.26753
NNPS | TO = -5.80396
PRP | TO = -5.40752
PRP$ | TO = -10.7558
VB | TO = -0.474013
JJ | TO = -7.10581
MD | TO = -5.4367
VBG | TO = -4.62241
RBR | TO = -6.53771
: | TO = -6.57357
WP | TO = -7.55147
WDT | TO = -5.73566
JJR | TO = -8.00973
PDT | TO = -9.35558
RBS | TO = -10.564
WRB | TO = -8.64973
JJS | TO = -7.69766
$ | TO = -3.65355
RP | TO = -7.7457
FW | TO = -8.36503
EX | TO = -8.56146
SYM | TO = -9.75129
# | TO = -7.63164
LS | TO = -9.77057
UH | TO = -9.39454
WP$ | TO = -10.4779
IN | . = -3.51509
DT | . = -3.64561
NNP | . = -3.42993
CD | . = -3.83569
NN | . = -3.46773
`` | . = -3.75829
'' | . = -3.74986
POS | . = -3.87532
( | . = -4.00427
VBN | . = -3.60956
NNS | . = -3.67004
VBP | . = -3.69197
, | . = -3.55207
CC | . = -3.69388
) | . = -4.0143
VBD | . = -3.59274
RB | . = -3.76114
TO | . = -3.71621
. | . = -3.57398
VBZ | . = -3.58795
NNPS | . = -3.79876
PRP | . = -3.76493
PRP$ | . = -3.98885
VB | . = -4.2638
JJ | . = -3.57878
MD | . = -3.68348
VBG | . = -3.69631
RBR | . = -4.10605
: | . = -3.81651
WP | . = -3.93666
WDT | . = -3.86964
JJR | . = -3.89916
PDT | . = -4.13504
RBS | . = -4.3019
WRB | . = -3.99781
JJS | . = -3.9721
$ | . = -3.83555
RP | . = -4.07973
FW | . = -4.09569
EX | . = -4.07096
SYM | . = -4.29423
# | . = -4.19724
LS | . = -4.27431
UH | . = -4.24405
WP$ | . = -4.16338
IN | VBZ = -2.51192
DT | VBZ = -4.25618
NNP | VBZ = -2.53663
CD | VBZ = -6.75104
NN | VBZ = -1.88193
`` | VBZ = -3.62689
'' | VBZ = -3.49246
POS | VBZ = -8.02611
( | VBZ = -7.57369
VBN | VBZ = -2.9635
NNS | VBZ = -3.63839
VBP | VBZ = -4.87749
, | VBZ = -2.36802
CC | VBZ = -3.3159
) | VBZ = -7.63132
VBD | VBZ = -5.13311
RB | VBZ = -2.92852
TO | VBZ = -3.76756
. | VBZ = -1.96926
VBZ | VBZ = -4.24612
NNPS | VBZ = -6.1062
PRP | VBZ = -3.01661
PRP$ | VBZ = -8.02163
VB | VBZ = -5.12901
JJ | VBZ = -3.66656
MD | VBZ = -4.85681
VBG | VBZ = -3.75176
RBR | VBZ = -7.67359
: | VBZ = -4.9079
WP | VBZ = -4.83244
WDT | VBZ = -4.08833
JJR | VBZ = -6.92253
PDT | VBZ = -9.00903
RBS | VBZ = -8.85604
WRB | VBZ = -5.55562
JJS | VBZ = -7.37636
$ | VBZ = -6.1626
RP | VBZ = -6.1528
FW | VBZ = -8.4784
EX | VBZ = -5.4524
SYM | VBZ = -9.81605
# | VBZ = -9.04081
LS | VBZ = -9.21206
UH | VBZ = -9.08246
WP$ | VBZ = -9.45186
IN | NNPS = -3.11293
DT | NNPS = -2.08041
NNP | NNPS = -0.76325
CD | NNPS = -4.7363
NN | NNPS = -2.51598
`` | NNPS = -5.32338
'' | NNPS = -5.41926
POS | NNPS = -3.17669
( | NNPS = -6.46496
VBN | NNPS = -6.2302
NNS | NNPS = -7.06359
VBP | NNPS = -6.42779
, | NNPS = -2.17495
CC | NNPS = -3.43455
) | NNPS = -6.50546
VBD | NNPS = -4.7518
RB | NNPS = -5.75596
TO | NNPS = -6.50599
. | NNPS = -4.88076
VBZ | NNPS = -4.44849
NNPS | NNPS = -5.62955
PRP | NNPS = -8.10028
PRP$ | NNPS = -6.79231
VB | NNPS = -20.5124
JJ | NNPS = -3.79146
MD | NNPS = -6.16267
VBG | NNPS = -6.11098
RBR | NNPS = -10.5197
: | NNPS = -5.6973
WP | NNPS = -10.2649
WDT | NNPS = -8.0516
JJR | NNPS = -7.94226
PDT | NNPS = -9.07094
RBS | NNPS = -12.2305
WRB | NNPS = -12.3957
JJS | NNPS = -8.137
$ | NNPS = -6.69863
RP | NNPS = -14.8782
FW | NNPS = -8.34626
EX | NNPS = -10.9767
SYM | NNPS = -12.1688
# | NNPS = -11.5083
LS | NNPS = -12.4982
UH | NNPS = -11.9121
WP$ | NNPS = -9.78825
IN | PRP = -1.76199
DT | PRP = -2.70184
NNP | PRP = -2.63317
CD | PRP = -3.42616
NN | PRP = -2.34626
`` | PRP = -4.0056
'' | PRP = -4.0038
POS | PRP = -5.0724
( | PRP = -5.06071
VBN | PRP = -3.79099
NNS | PRP = -3.95462
VBP | PRP = -4.94037
, | PRP = -2.21474
CC | PRP = -2.65913
) | PRP = -5.09457
VBD | PRP = -4.19425
RB | PRP = -3.08532
TO | PRP = -3.37566
. | PRP = -3.94184
VBZ | PRP = -4.36908
NNPS | PRP = -5.28635
PRP | PRP = -5.09351
PRP$ | PRP = -5.35291
VB | PRP = -11.4566
JJ | PRP = -2.94612
MD | PRP = -4.69909
VBG | PRP = -4.04145
RBR | PRP = -5.47975
: | PRP = -4.2812
WP | PRP = -6.23834
WDT | PRP = -5.93477
JJR | PRP = -4.75282
PDT | PRP = -6.40859
RBS | PRP = -6.63508
WRB | PRP = -6.41249
JJS | PRP = -5.21834
$ | PRP = -4.72439
RP | PRP = -7.32239
FW | PRP = -6.61218
EX | PRP = -7.12707
SYM | PRP = -8.17224
# | PRP = -7.86788
LS | PRP = -8.16911
UH | PRP = -7.89612
WP$ | PRP = -6.98331
IN | PRP$ = -3.98547
DT | PRP$ = -3.91985
NNP | PRP$ = -3.8451
CD | PRP$ = -3.9817
NN | PRP$ = -4.03068
`` | PRP$ = -3.91379
'' | PRP$ = -3.86745
POS | PRP$ = -3.63526
( | PRP$ = -3.81311
VBN | PRP$ = -3.93165
NNS | PRP$ = -4.05762
VBP | PRP$ = -3.8838
, | PRP$ = -3.94032
CC | PRP$ = -4.00355
) | PRP$ = -3.81581
VBD | PRP$ = -3.75545
RB | PRP$ = -4.07857
TO | PRP$ = -3.94882
. | PRP$ = -3.79248
VBZ | PRP$ = -3.78872
NNPS | PRP$ = -3.7679
PRP | PRP$ = -3.9299
PRP$ | PRP$ = -3.88412
VB | PRP$ = -3.83225
JJ | PRP$ = -3.9773
MD | PRP$ = -3.83515
VBG | PRP$ = -4.00572
RBR | PRP$ = -3.90386
: | PRP$ = -3.9032
WP | PRP$ = -3.82976
WDT | PRP$ = -3.86935
JJR | PRP$ = -3.88968
PDT | PRP$ = -3.80429
RBS | PRP$ = -3.8209
WRB | PRP$ = -3.80524
JJS | PRP$ = -3.90019
$ | PRP$ = -3.87935
RP | PRP$ = -3.81106
FW | PRP$ = -3.74303
EX | PRP$ = -3.822
SYM | PRP$ = -3.70502
# | PRP$ = -3.7316
LS | PRP$ = -3.72227
UH | PRP$ = -3.7219
WP$ | PRP$ = -3.73355
IN | VB = -1.53299
DT | VB = -4.85264
NNP | VB = -3.63914
CD | VB = -5.97112
NN | VB = -1.49898
`` | VB = -5.08033
'' | VB = -5.33804
POS | VB = -11.1584
( | VB = -9.29293
VBN | VB = -3.02238
NNS | VB = -2.01484
VBP | VB = -5.26938
, | VB = -3.56119
CC | VB = -4.01024
) | VB = -9.35243
VBD | VB = -5.07491
RB | VB = -2.86664
TO | VB = -2.64944
. | VB = -4.74512
VBZ | VB = -4.98306
NNPS | VB = -7.64445
PRP | VB = -4.02688
PRP$ | VB = -8.96074
VB | VB = -4.66849
JJ | VB = -3.47027
MD | VB = -5.01369
VBG | VB = -3.6014
RBR | VB = -6.25803
: | VB = -5.99498
WP | VB = -5.97876
WDT | VB = -6.47779
JJR | VB = -6.12813
PDT | VB = -9.83755
RBS | VB = -9.1314
WRB | VB = -4.97656
JJS | VB = -7.13729
$ | VB = -5.38534
RP | VB = -4.31712
FW | VB = -10.4019
EX | VB = -7.97602
SYM | VB = -11.3005
# | VB = -10.0474
LS | VB = -10.7542
UH | VB = -10.5766
WP$ | VB = -10.6574
IN | JJ = -1.53484
DT | JJ = -2.64359
NNP | JJ = -4.92317
CD | JJ = -3.61626
NN | JJ = -3.29362
`` | JJ = -4.02915
