Current epoch = 1
IN | IN = -3.3668
) | ( = -3.90485
VBD | ( = -3.89899
RB | ( = -3.71065
TO | ( = -3.73515
. | ( = -3.60563
VBZ | ( = -3.90112
NNPS | ( = -3.8728
PRP | ( = -3.66661
PRP$ | ( = -3.97457
VB | ( = -3.64005
JJ | ( = -3.93179
MD | ( = -3.84111
VBG | ( = -3.84807
RBR | ( = -3.8555
: | ( = -3.87148
WP | ( = -3.79606
WDT | ( = -3.77927
JJR | ( = -3.88521
PDT | ( = -3.87295
RBS | ( = -3.84769
WRB | ( = -3.79028
JJS | ( = -3.89588
$ | ( = -3.86856
RP | ( = -3.81182
FW | ( = -3.85357
EX | ( = -3.82986
SYM | ( = -3.83492
# | ( = -3.84619
LS | ( = -3.85382
UH | ( = -3.84358
WP$ | ( = -3.84411
IN | VBN = -1.00565
DT | VBN = -4.27293
NNP | VBN = -4.17441
CD | VBN = -4.66084
NN | VBN = -2.17433
`` | VBN = -4.90285
'' | VBN = -4.82051
POS | VBN = -7.48403
( | VBN = -7.72818
VBN | VBN = -3.02672
NNS | VBN = -3.15767
VBP | VBN = -5.33491
, | VBN = -3.70494
CC | VBN = -3.9275
) | VBN = -7.82244
VBD | VBN = -5.05811
RB | VBN = -2.77997
TO | VBN = -2.51642
. | VBN = -3.16535
VBZ | VBN = -4.91151
NNPS | VBN = -6.53642
PRP | VBN = -4.33313
PRP$ | VBN = -5.49881
VB | VBN = -7.43634
JJ | VBN = -2.86811
MD | VBN = -4.88743
VBG | VBN = -3.84082
RBR | VBN = -6.91763
: | VBN = -5.87423
WP | VBN = -6.31682
WDT | VBN = -5.9556
JJR | VBN = -6.00235
PDT | VBN = -8.32387
RBS | VBN = -8.49679
WRB | VBN = -6.40811
JJS | VBN = -6.67981
$ | VBN = -5.60227
RP | VBN = -6.3269
FW | VBN = -8.86103
EX | VBN = -7.81834
SYM | VBN = -9.04844
# | VBN = -9.02957
LS | VBN = -9.06201
UH | VBN = -8.99296
WP$ | VBN = -8.65369
IN | NNS = -1.72679
DT | NNS = -1.62431
NNP | NNS = -2.99037
CD | NNS = -3.24249
NN | NNS = -2.28572
`` | NNS = -5.1195
'' | NNS = -5.26702
POS | NNS = -4.77048
( | NNS = -7.06217
VBN | NNS = -3.8712
NNS | NNS = -4.07505
VBP | NNS = -5.2761
, | NNS = -3.23862
CC | NNS = -3.40671
) | NNS = -6.96235
VBD | NNS = -4.82509
RB | NNS = -4.3721
TO | NNS = -3.61636
. | NNS = -6.01074
VBZ | NNS = -4.67543
NNPS | NNS = -6.27304
PRP | NNS = -6.49813
PRP$ | NNS = -3.63069
VB | NNS = -10.4027
JJ | NNS = -1.82208
MD | NNS = -5.1509
VBG | NNS = -4.06602
RBR | NNS = -6.63205
: | NNS = -5.56436
WP | NNS = -6.82582
WDT | NNS = -6.80462
JJR | NNS = -5.37579
PDT | NNS = -7.70173
RBS | NNS = -8.11318
WRB | NNS = -6.88689
JJS | NNS = -5.90822
$ | NNS = -5.60915
RP | NNS = -6.56704
FW | NNS = -8.4661
EX | NNS = -7.73855
SYM | NNS = -8.79104
# | NNS = -8.64482
LS | NNS = -8.56975
UH | NNS = -8.65135
WP$ | NNS = -8.26008
IN | VBP = -2.35917
DT | VBP = -5.62852
NNP | VBP = -3.54665
CD | VBP = -4.90712
NN | VBP = -2.23414
`` | VBP = -4.12652
'' | VBP = -4.04981
POS | VBP = -6.72264
( | VBP = -6.27167
VBN | VBP = -3.22801
NNS | VBP = -2.32917
VBP | VBP = -4.37955
, | VBP = -3.28562
CC | VBP = -3.83626
) | VBP = -6.44581
VBD | VBP = -4.17808
RB | VBP = -2.59562
TO | VBP = -3.02102
. | VBP = -2.0509
VBZ | VBP = -4.08293
NNPS | VBP = -5.27055
PRP | VBP = -2.94863
PRP$ | VBP = -6.21664
VB | VBP = -3.33845
JJ | VBP = -4.18853
MD | VBP = -4.04714
VBG | VBP = -3.56024
RBR | VBP = -5.74744
: | VBP = -5.09184
WP | VBP = -4.90017
WDT | VBP = -4.37963
JJR | VBP = -5.5277
PDT | VBP = -6.71068
RBS | VBP = -6.7413
WRB | VBP = -5.07115
JJS | VBP = -5.91688
$ | VBP = -4.45603
RP | VBP = -5.16576
FW | VBP = -6.8346
EX | VBP = -6.15573
SYM | VBP = -6.95332
# | VBP = -7.0051
LS | VBP = -7.11119
UH | VBP = -6.93658
WP$ | VBP = -6.89728
IN | , = -4.18115
DT | , = -3.75988
NNP | , = -3.99472
CD | , = -3.84774
NN | , = -4.17443
`` | , = -3.96045
'' | , = -3.97253
POS | , = -3.61663
( | , = -3.70304
VBN | , = -4.08111
NNS | , = -4.16957
VBP | , = -3.92417
, | , = -4.03842
CC | , = -3.98281
) | , = -3.67845
VBD | , = -3.94374
RB | , = -4.15831
TO | , = -4.11021
. | , = -4.23464
VBZ | , = -3.95397
NNPS | , = -3.82031
PRP | , = -4.1222
PRP$ | , = -3.70508
VB | , = -4.07352
JJ | , = -3.94886
MD | , = -3.96857
VBG | , = -4.02698
RBR | , = -3.76949
: | , = -3.84434
WP | , = -3.87459
WDT | , = -3.93713
JJR | , = -3.79429
PDT | , = -3.65232
RBS | , = -3.65374
WRB | , = -3.85509
JJS | , = -3.74485
$ | , = -3.91761
RP | , = -3.84288
FW | , = -3.63983
EX | , = -3.72466
SYM | , = -3.62918
# | , = -3.62267
LS | , = -3.61027
UH | , = -3.62903
WP$ | , = -3.63731
IN | CC = -3.09205
DT | CC = -4.91316
NNP | CC = -1.9939
CD | CC = -4.40492
NN | CC = -1.5881
`` | CC = -4.2533
'' | CC = -4.36306
POS | CC = -5.44059
( | CC = -6.40833
VBN | CC = -3.98085
NNS | CC = -2.06696
VBP | CC = -4.28042
, | CC = -2.4159
CC | CC = -3.42259
) | CC = -6.53582
VBD | CC = -3.82359
RB | CC = -3.5116
TO | CC = -4.07675
. | CC = -3.40496
VBZ | CC = -3.69733
NNPS | CC = -5.32237
PRP | CC = -4.0072
PRP$ | CC = -6.28359
VB | CC = -3.96283
JJ | CC = -4.22492
MD | CC = -4.13619
VBG | CC = -3.62831
RBR | CC = -6.11028
: | CC = -5.24925
WP | CC = -5.42275
WDT | CC = -4.85312
JJR | CC = -5.79864
PDT | CC = -7.0652
RBS | CC = -7.2764
WRB | CC = -5.71045
JJS | CC = -6.11478
$ | CC = -4.36155
RP | CC = -5.71667
FW | CC = -7.27155
EX | CC = -6.69958
SYM | CC = -7.55766
# | CC = -7.54583
LS | CC = -7.65051
UH | CC = -7.46654
WP$ | CC = -7.51543
IN | ) = -3.85904
DT | ) = -4.30919
NNP | ) = -3.80713
CD | ) = -4.05784
NN | ) = -3.71106
`` | ) = -3.79737
'' | ) = -3.78245
POS | ) = -4.16529
( | ) = -3.96297
VBN | ) = -3.80393
NNS | ) = -3.58635
VBP | ) = -3.81302
, | ) = -3.77866
CC | ) = -3.87676
) | ) = -3.99803
VBD | ) = -3.80733
RB | ) = -3.66592
TO | ) = -3.81039
. | ) = -3.45369
VBZ | ) = -3.80394
NNPS | ) = -3.87127
PRP | ) = -3.5353
PRP$ | ) = -4.26603
VB | ) = -3.21646
JJ | ) = -4.10267
MD | ) = -3.77972
VBG | ) = -3.79853
RBR | ) = -3.93273
: | ) = -3.91422
WP | ) = -3.78975
WDT | ) = -3.7047
JJR | ) = -4.00662
PDT | ) = -3.98712
RBS | ) = -3.967
WRB | ) = -3.8198
JJS | ) = -4.01684
$ | ) = -3.7943
RP | ) = -3.85848
FW | ) = -3.94298
EX | ) = -3.9066
SYM | ) = -3.94296
# | ) = -3.96178
LS | ) = -3.98455
UH | ) = -3.9482
WP$ | ) = -3.98512
IN | VBD = -2.38656
DT | VBD = -5.46626
NNP | VBD = -2.95859
CD | VBD = -4.7954
NN | VBD = -1.82833
`` | VBD = -4.2274
'' | VBD = -4.20845
POS | VBD = -6.55644
( | VBD = -6.62692
VBN | VBD = -3.41563
NNS | VBD = -2.11306
VBP | VBD = -4.42935
, | VBD = -2.90394
CC | VBD = -3.67424
) | VBD = -6.79295
VBD | VBD = -4.11
RB | VBD = -2.79288
TO | VBD = -3.28537
. | VBD = -2.40038
VBZ | VBD = -3.99258
NNPS | VBD = -5.47799
PRP | VBD = -3.30252
PRP$ | VBD = -6.42911
VB | VBD = -3.71399
JJ | VBD = -4.162
MD | VBD = -4.12569
VBG | VBD = -3.56017
RBR | VBD = -6.11578
: | VBD = -5.29937
WP | VBD = -5.249
WDT | VBD = -4.66915
JJR | VBD = -5.80987
PDT | VBD = -7.19148
RBS | VBD = -7.30113
WRB | VBD = -5.47773
JJS | VBD = -6.22418
$ | VBD = -4.52867
RP | VBD = -5.54599
FW | VBD = -7.38368
EX | VBD = -6.65603
SYM | VBD = -7.57912
# | VBD = -7.60894
LS | VBD = -7.72268
UH | VBD = -7.5265
WP$ | VBD = -7.50652
IN | RB = -1.79857
DT | RB = -3.52579
NNP | RB = -3.07177
CD | RB = -3.8263
NN | RB = -2.05867
`` | RB = -4.18932
'' | RB = -4.20024
POS | RB = -5.44964
( | RB = -6.11803
VBN | RB = -3.16004
NNS | RB = -2.84151
VBP | RB = -4.39627
, | RB = -3.00472
CC | RB = -3.34437
) | RB = -6.16737
VBD | RB = -4.11404
RB | RB = -3.03439
TO | RB = -2.93213
. | RB = -3.42568
VBZ | RB = -4.00427
NNPS | RB = -5.26948
PRP | RB = -4.11847
PRP$ | RB = -4.63247
VB | RB = -6.00284
JJ | RB = -2.83321
MD | RB = -4.16149
VBG | RB = -3.45607
RBR | RB = -5.65031
: | RB = -4.87067
WP | RB = -5.28338
WDT | RB = -5.01164
JJR | RB = -5.01497
PDT | RB = -6.60181
RBS | RB = -6.78089
WRB | RB = -5.39133
JJS | RB = -5.44301
$ | RB = -4.57848
RP | RB = -5.31199
FW | RB = -6.98876
EX | RB = -6.3207
SYM | RB = -7.17557
# | RB = -7.14079
LS | RB = -7.16676
UH | RB = -7.10926
WP$ | RB = -6.92037
IN | TO = -5.60539
DT | TO = -8.89379
NNP | TO = -3.10053
CD | TO = -6.83166
NN | TO = -2.80214
`` | TO = -5.08974
'' | TO = -5.14729
POS | TO = -7.52568
( | TO = -7.25802
VBN | TO = -5.48848
NNS | TO = -2.24761
VBP | TO = -5.05783
, | TO = -3.54321
CC | TO = -5.03273
) | TO = -7.56227
VBD | TO = -4.65614
RB | TO = -4.31812
TO | TO = -5.79974
. | TO = -2.86777
VBZ | TO = -4.55815
NNPS | TO = -6.04308
PRP | TO = -3.53424
PRP$ | TO = -9.62101
VB | TO = -0.592276
JJ | TO = -7.49351
MD | TO = -4.87878
VBG | TO = -4.82251
RBR | TO = -7.06161
: | TO = -6.43213
WP | TO = -5.75312
WDT | TO = -4.81147
JJR | TO = -7.46956
PDT | TO = -7.86823
RBS | TO = -7.89988
WRB | TO = -6.18441
JJS | TO = -7.62195
$ | TO = -4.932
RP | TO = -6.43297
FW | TO = -7.63427
EX | TO = -7.20308
SYM | TO = -7.85959
# | TO = -7.95706
LS | TO = -8.18176
UH | TO = -7.82407
WP$ | TO = -8.18261
IN | . = -3.93433
DT | . = -4.04844
NNP | . = -3.84353
CD | . = -3.94596
NN | . = -3.84694
`` | . = -3.84027
'' | . = -3.83701
POS | . = -3.93222
( | . = -3.85803
VBN | . = -3.87703
NNS | . = -3.78303
VBP | . = -3.8372
, | . = -3.84594
CC | . = -3.8859
) | . = -3.87122
VBD | . = -3.83749
RB | . = -3.829
TO | . = -3.89269
. | . = -3.74056
VBZ | . = -3.83927
NNPS | . = -3.84102
PRP | . = -3.75286
PRP$ | . = -4.01389
VB | . = -3.56872
JJ | . = -3.99691
MD | . = -3.83308
VBG | . = -3.85972
RBR | . = -3.86081
: | . = -3.86938
WP | . = -3.81401
WDT | . = -3.78688
JJR | . = -3.90591
PDT | . = -3.85992
RBS | . = -3.84792
WRB | . = -3.82558
JJS | . = -3.89806
$ | . = -3.82437
RP | . = -3.84214
FW | . = -3.8341
EX | . = -3.83642
SYM | . = -3.83093
# | . = -3.83611
LS | . = -3.84525
UH | . = -3.83311
WP$ | . = -3.85218
IN | VBZ = -2.32959
DT | VBZ = -5.15207
NNP | VBZ = -2.93654
CD | VBZ = -4.62813
NN | VBZ = -1.84584
`` | VBZ = -4.17322
'' | VBZ = -4.1631
POS | VBZ = -6.30933
( | VBZ = -6.45492
VBN | VBZ = -3.36413
NNS | VBZ = -2.19528
VBP | VBZ = -4.37488
, | VBZ = -2.89377
CC | VBZ = -3.59624
) | VBZ = -6.61339
VBD | VBZ = -4.06161
RB | VBZ = -2.82001
TO | VBZ = -3.2349
. | VBZ = -2.53213
VBZ | VBZ = -3.94872
NNPS | VBZ = -5.37445
PRP | VBZ = -3.37651
PRP$ | VBZ = -6.12084
VB | VBZ = -3.92195
JJ | VBZ = -3.96351
MD | VBZ = -4.08277
VBG | VBZ = -3.51049
RBR | VBZ = -5.97082
: | VBZ = -5.1729
WP | VBZ = -5.18639
WDT | VBZ = -4.65294
JJR | VBZ = -5.62991
PDT | VBZ = -7.00596
RBS | VBZ = -7.12388
WRB | VBZ = -5.40555
JJS | VBZ = -6.03998
$ | VBZ = -4.46893
RP | VBZ = -5.44833
FW | VBZ = -7.21863
EX | VBZ = -6.51206
SYM | VBZ = -7.41095
# | VBZ = -7.42803
LS | VBZ = -7.52738
UH | VBZ = -7.35898
WP$ | VBZ = -7.31885
IN | NNPS = -3.08492
DT | NNPS = -3.05722
NNP | NNPS = -1.6542
CD | NNPS = -3.46276
NN | NNPS = -1.77547
`` | NNPS = -4.36087
'' | NNPS = -4.56513
POS | NNPS = -3.97594
( | NNPS = -5.9824
VBN | NNPS = -4.19882
NNS | NNPS = -2.78926
VBP | NNPS = -4.29116
, | NNPS = -2.32624
CC | NNPS = -3.11655
) | NNPS = -5.98255
VBD | NNPS = -3.78595
RB | NNPS = -4.2314
TO | NNPS = -4.33942
. | NNPS = -4.96355
VBZ | NNPS = -3.66214
NNPS | NNPS = -5.17803
PRP | NNPS = -5.2294
PRP$ | NNPS = -4.78398
VB | NNPS = -6.20743
JJ | NNPS = -3.24665
MD | NNPS = -4.29269
VBG | NNPS = -3.70054
RBR | NNPS = -5.83658
: | NNPS = -4.97701
WP | NNPS = -5.67148
WDT | NNPS = -5.37479
JJR | NNPS = -5.24242
PDT | NNPS = -6.61555
RBS | NNPS = -6.95029
WRB | NNPS = -5.89243
JJS | NNPS = -5.51437
$ | NNPS = -4.43809
RP | NNPS = -5.74219
FW | NNPS = -7.00614
EX | NNPS = -6.56845
SYM | NNPS = -7.33679
# | NNPS = -7.24589
LS | NNPS = -7.2731
UH | NNPS = -7.20636
WP$ | NNPS = -7.15783
IN | PRP = -3.38395
DT | PRP = -3.68007
NNP | PRP = -3.33435
CD | PRP = -3.68717
NN | PRP = -3.21673
`` | PRP = -3.74754
'' | PRP = -3.76813
POS | PRP = -3.93734
( | PRP = -4.17102
VBN | PRP = -3.62756
NNS | PRP = -3.37446
VBP | PRP = -3.76512
, | PRP = -3.3969
CC | PRP = -3.54606
) | PRP = -4.18715
VBD | PRP = -3.67818
RB | PRP = -3.58214
TO | PRP = -3.62348
. | PRP = -3.6427
VBZ | PRP = -3.65271
NNPS | PRP = -3.97014
PRP | PRP = -3.76455
PRP$ | PRP = -3.97302
VB | PRP = -3.97135
JJ | PRP = -3.57256
MD | PRP = -3.73302
VBG | PRP = -3.60081
RBR | PRP = -4.09898
: | PRP = -3.91913
WP | PRP = -4.00365
WDT | PRP = -3.91851
JJR | PRP = -3.98922
PDT | PRP = -4.29949
RBS | PRP = -4.34741
WRB | PRP = -4.04731
JJS | PRP = -4.06616
$ | PRP = -3.79425
RP | PRP = -4.03296
FW | PRP = -4.36861
EX | PRP = -4.24164
SYM | PRP = -4.42393
# | PRP = -4.41512
LS | PRP = -4.4271
UH | PRP = -4.40483
WP$ | PRP = -4.3886
IN | PRP$ = -3.99771
DT | PRP$ = -3.88362
NNP | PRP$ = -3.86887
CD | PRP$ = -3.87588
NN | PRP$ = -3.94517
`` | PRP$ = -3.87885
'' | PRP$ = -3.88335
POS | PRP$ = -3.78139
( | PRP$ = -3.79817
VBN | PRP$ = -3.94162
NNS | PRP$ = -3.92033
VBP | PRP$ = -3.86119
, | PRP$ = -3.8953
CC | PRP$ = -3.89959
) | PRP$ = -3.79489
VBD | PRP$ = -3.86438
RB | PRP$ = -3.95008
TO | PRP$ = -3.96324
. | PRP$ = -3.94662
VBZ | PRP$ = -3.86867
NNPS | PRP$ = -3.83014
PRP | PRP$ = -3.91108
PRP$ | PRP$ = -3.85806
VB | PRP$ = -3.8161
JJ | PRP$ = -3.93952
MD | PRP$ = -3.87805
VBG | PRP$ = -3.90969
RBR | PRP$ = -3.82284
: | PRP$ = -3.84952
WP | PRP$ = -3.84108
WDT | PRP$ = -3.85199
JJR | PRP$ = -3.85117
PDT | PRP$ = -3.78453
RBS | PRP$ = -3.7804
WRB | PRP$ = -3.83933
JJS | PRP$ = -3.8292
$ | PRP$ = -3.85466
RP | PRP$ = -3.84117
FW | PRP$ = -3.77099
EX | PRP$ = -3.80078
SYM | PRP$ = -3.76563
# | PRP$ = -3.76387
LS | PRP$ = -3.76517
UH | PRP$ = -3.76606
WP$ | PRP$ = -3.77672
IN | VB = -1.54134
DT | VB = -4.87961
NNP | VB = -3.20047
CD | VB = -4.77072
NN | VB = -1.57776
`` | VB = -4.70485
'' | VB = -4.68921
POS | VB = -7.23999
( | VB = -7.7152
VBN | VB = -3.29329
NNS | VB = -2.39641
VBP | VB = -5.02591
, | VB = -3.04869
CC | VB = -3.71014
) | VB = -7.86125
VBD | VB = -4.62705
RB | VB = -2.83178
TO | VB = -2.99043
. | VB = -2.91868
VBZ | VB = -4.46818
NNPS | VB = -6.35354
PRP | VB = -4.03963
PRP$ | VB = -6.3117
VB | VB = -5.95507
JJ | VB = -3.47691
MD | VB = -4.6314
VBG | VB = -3.69397
RBR | VB = -7.00722
: | VB = -5.89067
WP | VB = -6.19837
WDT | VB = -5.64209
JJR | VB = -6.27971
PDT | VB = -8.43582
RBS | VB = -8.63688
WRB | VB = -6.41115
JJS | VB = -6.89657
$ | VB = -5.23083
RP | VB = -6.38043
FW | VB = -8.87109
EX | VB = -7.8741
SYM | VB = -9.12922
# | VB = -9.12139
LS | VB = -9.20297
UH | VB = -9.05382
WP$ | VB = -8.86238
IN | JJ = -1.75232
DT | JJ = -3.05658
NNP | JJ = -3.50732
CD | JJ = -3.60986
NN | JJ = -2.50666
